name,description,price,originalPrice,stock,mainImageUrl,images,category,brand,sku,active,rating,reviewCount
Marni Red & Black Suit,"The Marni Red & Black Suit is a sophisticated and fashion-forward suit ensemble. With a combination of red and black tones, it showcases a modern design for a bold and confident look.",14939,17628,62,https://cdn.dummyjson.com/product-images/womens-dresses/marni-red-&-black-suit/thumbnail.webp,https://cdn.dummyjson.com/product-images/womens-dresses/marni-red-&-black-suit/thumbnail.webp|https://cdn.dummyjson.com/product-images/womens-dresses/marni-red-&-black-suit/1.webp|https://cdn.dummyjson.com/product-images/womens-dresses/marni-red-&-black-suit/2.webp|https://cdn.dummyjson.com/product-images/womens-dresses/marni-red-&-black-suit/3.webp,Fashion,LUXE,FASH-0001,true,4.5,292
Dress Pea,"The Dress Pea is a stylish and comfortable dress with a pea pattern. Perfect for casual outings, it adds a playful and fun element to your wardrobe, making it a great choice for day-to-day wear.",4149,4895,6,https://cdn.dummyjson.com/product-images/womens-dresses/dress-pea/thumbnail.webp,https://cdn.dummyjson.com/product-images/womens-dresses/dress-pea/thumbnail.webp|https://cdn.dummyjson.com/product-images/womens-dresses/dress-pea/1.webp|https://cdn.dummyjson.com/product-images/womens-dresses/dress-pea/2.webp|https://cdn.dummyjson.com/product-images/womens-dresses/dress-pea/3.webp,Fashion,LUXE,FASH-0002,true,4.9,285
Corset With Black Skirt,The Corset With Black Skirt is a chic and versatile outfit that pairs a fashionable corset with a classic black skirt. It offers a trendy and coordinated look for various occasions.,6639,7834,33,https://cdn.dummyjson.com/product-images/womens-dresses/corset-with-black-skirt/thumbnail.webp,https://cdn.dummyjson.com/product-images/womens-dresses/corset-with-black-skirt/thumbnail.webp|https://cdn.dummyjson.com/product-images/womens-dresses/corset-with-black-skirt/1.webp|https://cdn.dummyjson.com/product-images/womens-dresses/corset-with-black-skirt/2.webp|https://cdn.dummyjson.com/product-images/womens-dresses/corset-with-black-skirt/3.webp,Fashion,LUXE,FASH-0003,true,4.5,278
Corset Leather With Skirt,"The Corset Leather With Skirt is a bold and edgy ensemble that combines a stylish corset with a matching skirt. Ideal for fashion-forward individuals, it makes a statement at any event.",7469,8813,30,https://cdn.dummyjson.com/product-images/womens-dresses/corset-leather-with-skirt/thumbnail.webp,https://cdn.dummyjson.com/product-images/womens-dresses/corset-leather-with-skirt/thumbnail.webp|https://cdn.dummyjson.com/product-images/womens-dresses/corset-leather-with-skirt/1.webp|https://cdn.dummyjson.com/product-images/womens-dresses/corset-leather-with-skirt/2.webp|https://cdn.dummyjson.com/product-images/womens-dresses/corset-leather-with-skirt/3.webp,Fashion,LUXE,FASH-0004,true,3.8,271
Black Women's Gown,"The Black Women's Gown is an elegant and timeless evening gown. With a sleek black design, it's perfect for formal events and special occasions, exuding sophistication and style.",10789,12731,25,https://cdn.dummyjson.com/product-images/womens-dresses/black-women's-gown/thumbnail.webp,https://cdn.dummyjson.com/product-images/womens-dresses/black-women's-gown/thumbnail.webp|https://cdn.dummyjson.com/product-images/womens-dresses/black-women's-gown/1.webp|https://cdn.dummyjson.com/product-images/womens-dresses/black-women's-gown/2.webp|https://cdn.dummyjson.com/product-images/womens-dresses/black-women's-gown/3.webp,Fashion,LUXE,FASH-0005,true,3.8,264
Tartan Dress,"The Tartan Dress features a classic tartan pattern, bringing a timeless and sophisticated touch to your wardrobe. Perfect for fall and winter, it adds a hint of traditional charm.",3319,3916,73,https://cdn.dummyjson.com/product-images/tops/tartan-dress/thumbnail.webp,https://cdn.dummyjson.com/product-images/tops/tartan-dress/thumbnail.webp|https://cdn.dummyjson.com/product-images/tops/tartan-dress/1.webp|https://cdn.dummyjson.com/product-images/tops/tartan-dress/2.webp|https://cdn.dummyjson.com/product-images/tops/tartan-dress/3.webp,Fashion,LUXE,FASH-0006,true,4.0,187
Short Frock,"The Short Frock is a playful and trendy dress with a shorter length. Ideal for casual outings or special occasions, it combines style and comfort for a fashionable look.",2074,2447,22,https://cdn.dummyjson.com/product-images/tops/short-frock/thumbnail.webp,https://cdn.dummyjson.com/product-images/tops/short-frock/thumbnail.webp|https://cdn.dummyjson.com/product-images/tops/short-frock/1.webp|https://cdn.dummyjson.com/product-images/tops/short-frock/2.webp|https://cdn.dummyjson.com/product-images/tops/short-frock/3.webp,Fashion,LUXE,FASH-0007,true,3.8,180
Gray Dress,"The Gray Dress is a versatile and chic option for various occasions. With a neutral gray color, it can be dressed up or down, making it a wardrobe staple for any fashion-forward individual.",2904,3426,55,https://cdn.dummyjson.com/product-images/tops/gray-dress/thumbnail.webp,https://cdn.dummyjson.com/product-images/tops/gray-dress/thumbnail.webp|https://cdn.dummyjson.com/product-images/tops/gray-dress/1.webp|https://cdn.dummyjson.com/product-images/tops/gray-dress/2.webp|https://cdn.dummyjson.com/product-images/tops/gray-dress/3.webp,Fashion,LUXE,FASH-0008,true,3.8,173
Girl Summer Dress,"The Girl Summer Dress is a cute and breezy dress designed for warm weather. With playful patterns and lightweight fabric, it's perfect for keeping cool and stylish during the summer.",1659,1959,43,https://cdn.dummyjson.com/product-images/tops/girl-summer-dress/thumbnail.webp,https://cdn.dummyjson.com/product-images/tops/girl-summer-dress/thumbnail.webp|https://cdn.dummyjson.com/product-images/tops/girl-summer-dress/1.webp|https://cdn.dummyjson.com/product-images/tops/girl-summer-dress/2.webp|https://cdn.dummyjson.com/product-images/tops/girl-summer-dress/3.webp,Fashion,LUXE,FASH-0009,true,4.8,166
Blue Frock,"The Blue Frock is a charming and stylish dress for various occasions. With a vibrant blue color and a comfortable design, it adds a touch of elegance to your wardrobe.",2489,2937,52,https://cdn.dummyjson.com/product-images/tops/blue-frock/thumbnail.webp,https://cdn.dummyjson.com/product-images/tops/blue-frock/thumbnail.webp|https://cdn.dummyjson.com/product-images/tops/blue-frock/1.webp|https://cdn.dummyjson.com/product-images/tops/blue-frock/2.webp|https://cdn.dummyjson.com/product-images/tops/blue-frock/3.webp,Fashion,LUXE,FASH-0010,true,4.2,159
iPad Mini 2021 Starlight,"The iPad Mini 2021 in Starlight is a compact and powerful tablet from Apple. Featuring a stunning Retina display, powerful A-series chip, and a sleek design, it offers a premium tablet experience.",41499,48968,47,https://cdn.dummyjson.com/product-images/tablets/ipad-mini-2021-starlight/thumbnail.webp,https://cdn.dummyjson.com/product-images/tablets/ipad-mini-2021-starlight/thumbnail.webp|https://cdn.dummyjson.com/product-images/tablets/ipad-mini-2021-starlight/1.webp|https://cdn.dummyjson.com/product-images/tablets/ipad-mini-2021-starlight/2.webp|https://cdn.dummyjson.com/product-images/tablets/ipad-mini-2021-starlight/3.webp,Electronics,Apple,ELEC-0001,true,3.8,138
Samsung Galaxy Tab White,"The Samsung Galaxy Tab in White is a sleek and versatile Android tablet. With a vibrant display, long-lasting battery, and a range of features, it offers a great user experience for various tasks.",29049,34277,92,https://cdn.dummyjson.com/product-images/tablets/samsung-galaxy-tab-white/thumbnail.webp,https://cdn.dummyjson.com/product-images/tablets/samsung-galaxy-tab-white/thumbnail.webp|https://cdn.dummyjson.com/product-images/tablets/samsung-galaxy-tab-white/1.webp|https://cdn.dummyjson.com/product-images/tablets/samsung-galaxy-tab-white/2.webp|https://cdn.dummyjson.com/product-images/tablets/samsung-galaxy-tab-white/3.webp,Electronics,Samsung,ELEC-0002,true,3.8,152
Samsung Galaxy Tab S8 Plus Grey,"The Samsung Galaxy Tab S8 Plus in Grey is a high-performance Android tablet by Samsung. With a large AMOLED display, powerful processor, and S Pen support, it's ideal for productivity and entertainment.",49799,58762,62,https://cdn.dummyjson.com/product-images/tablets/samsung-galaxy-tab-s8-plus-grey/thumbnail.webp,https://cdn.dummyjson.com/product-images/tablets/samsung-galaxy-tab-s8-plus-grey/thumbnail.webp|https://cdn.dummyjson.com/product-images/tablets/samsung-galaxy-tab-s8-plus-grey/1.webp|https://cdn.dummyjson.com/product-images/tablets/samsung-galaxy-tab-s8-plus-grey/2.webp|https://cdn.dummyjson.com/product-images/tablets/samsung-galaxy-tab-s8-plus-grey/3.webp,Electronics,Samsung,ELEC-0003,true,4.7,145
Cricket Helmet,"The Cricket Helmet is a protective headgear worn by cricket players, especially batsmen and wicketkeepers. It provides protection against fast bowling and bouncers.",3734,4406,10,https://cdn.dummyjson.com/product-images/sports-accessories/cricket-helmet/thumbnail.webp,https://cdn.dummyjson.com/product-images/sports-accessories/cricket-helmet/thumbnail.webp|https://cdn.dummyjson.com/product-images/sports-accessories/cricket-helmet/1.webp|https://cdn.dummyjson.com/product-images/sports-accessories/cricket-helmet/2.webp|https://cdn.dummyjson.com/product-images/sports-accessories/cricket-helmet/3.webp,Accessories,LUXE,ACCS-0001,true,4.7,33
